model,mode,nodes,ngpu,bsize,global,grad_cum,n_prints,t_micro_s,t_step_s,t_step_median_s,stall_ratio,t_step_p10_s,t_step_p90_s,data_frac,peak_gpu_mb,samples_per_s,epoch_s,epoch_speedup,epoch_efficiency,epochs_seen,last_idx,path
flow,both,2,8,16,128,1,41,0.8982073170731708,0.8982073170731708,0.8996,0.9984518864752899,0.8866399999999999,0.9099999999999999,,41438.0,142.50607578781583,449.1036585365854,1.9303762236433002,0.9651881118216501,1,500,/tmp/claude-1000/-home-acao-code-deltatok/d7a72b9e-8507-465f-9108-9eb0ea25d1c0/scratchpad/jzlogs/bench_scaling_deltatok_flow_jz_1177081.out
flow,strong,1,4,16,128,2,41,0.8717451219512196,1.7434902439024391,1.7411,1.00137283550769,1.7314599999999998,1.761,,46060.0,73.41595426051752,871.7451219512195,1.0,1.0,1,500,/tmp/claude-1000/-home-acao-code-deltatok/d7a72b9e-8507-465f-9108-9eb0ea25d1c0/scratchpad/jzlogs/bench_scaling_deltatok_flow_jz_1177080.out
flow,strong,4,16,8,128,1,41,0.5206487804878048,0.5206487804878048,0.5202,1.0008627075890135,0.5109,0.53248,,34025.0,245.8471138260894,260.3243902439024,3.3486878472449946,0.8371719618112486,1,500,/tmp/claude-1000/-home-acao-code-deltatok/d7a72b9e-8507-465f-9108-9eb0ea25d1c0/scratchpad/jzlogs/bench_scaling_deltatok_flow_jz_1178887.out
flow,strong,8,32,4,128,1,41,0.3659731707317073,0.3659731707317073,0.3634,1.0070808220465253,0.35402,0.38446,,33608.0,349.75241421135763,182.98658536585364,4.763983765303335,0.5954979706629169,1,500,/tmp/claude-1000/-home-acao-code-deltatok/d7a72b9e-8507-465f-9108-9eb0ea25d1c0/scratchpad/jzlogs/bench_scaling_deltatok_flow_jz_1178889.out
flow,weak,1,4,16,64,1,41,0.8669390243902438,0.8669390243902438,0.8674,0.9994685547501082,0.8603,0.8726800000000001,,41438.0,73.82295432486039,866.9390243902438,1.0,1.0,1,500,/tmp/claude-1000/-home-acao-code-deltatok/d7a72b9e-8507-465f-9108-9eb0ea25d1c0/scratchpad/jzlogs/bench_scaling_deltatok_flow_jz_1177079.out
flow,weak,4,16,16,256,1,41,0.9044804878048781,0.9044804878048781,0.9041,1.0004208470355913,0.89268,0.91526,,41438.0,283.0354036948848,226.12012195121952,3.8339755741740977,0.9584938935435244,1,500,/tmp/claude-1000/-home-acao-code-deltatok/d7a72b9e-8507-465f-9108-9eb0ea25d1c0/scratchpad/jzlogs/bench_scaling_deltatok_flow_jz_1178886.out
flow,weak,8,32,16,512,1,41,0.9068317073170733,0.9068317073170733,0.9039,1.003243397850507,0.8920999999999999,0.93194,,41438.0,564.6031075763647,113.35396341463417,7.648069800780523,0.9560087250975654,1,500,/tmp/claude-1000/-home-acao-code-deltatok/d7a72b9e-8507-465f-9108-9eb0ea25d1c0/scratchpad/jzlogs/bench_scaling_deltatok_flow_jz_1178888.out
occany,both,4,16,2,32,1,42,0.6769714285714286,0.6769714285714286,0.6739,1.0045576919000274,0.6735999999999999,0.6900000000000001,0.00015123378633127938,45626.0,47.269350890520805,1353.9428571428573,3.879547564784333,0.9698868911960833,1,500,/tmp/claude-1000/-home-acao-code-OccAny/6a5dac99-3835-49fa-8d69-afade3902430/scratchpad/reallogs/bench_scaling_occany_jz_1190114.out
occany,strong,1,4,2,32,4,162,0.6497154320987655,2.598861728395062,2.5792,1.00762318873878,2.5764000000000005,2.63628,0.0003619818363025028,47029.0,12.31308293564419,5197.723456790124,1.0,1.0,1,2000,/tmp/claude-1000/-home-acao-code-OccAny/6a5dac99-3835-49fa-8d69-afade3902430/scratchpad/reallogs/bench_scaling_occany_jz_1190111.out
occany,strong,2,8,2,32,2,82,0.6756341463414635,1.351268292682927,1.3355,1.0118070330834348,1.3334,1.3748999999999998,0.00030504313923685063,47029.0,23.681455543121185,2702.536585365854,1.9232758901158358,0.9616379450579179,1,1000,/tmp/claude-1000/-home-acao-code-OccAny/6a5dac99-3835-49fa-8d69-afade3902430/scratchpad/reallogs/bench_scaling_occany_jz_1190113.out
occany,strong,8,32,1,32,1,42,0.4075333333333333,0.4075333333333333,0.3891,1.0473742825323396,0.38869999999999993,0.40584,0.00024537870112874207,30098.0,78.52118436119746,815.0666666666666,6.377053153267779,0.7971316441584724,1,500,/tmp/claude-1000/-home-acao-code-OccAny/6a5dac99-3835-49fa-8d69-afade3902430/scratchpad/reallogs/bench_scaling_occany_jz_1190115.out
occany,weak,1,4,2,8,1,42,0.6565857142857142,0.6565857142857142,0.6565,1.0001305625068,0.6563000000000001,0.65697,0.0001559293023795537,45626.0,12.184243162681405,5252.685714285714,1.0,1.0,1,500,/tmp/claude-1000/-home-acao-code-OccAny/6a5dac99-3835-49fa-8d69-afade3902430/scratchpad/reallogs/bench_scaling_occany_jz_1190110.out
occany,weak,2,8,2,16,1,42,0.6767261904761904,0.6767261904761904,0.676,1.0010742462665538,0.6757,0.6802699999999999,0.00015128859178467765,45626.0,23.64324039053567,2706.9047619047615,1.9404767349810892,0.9702383674905446,1,500,/tmp/claude-1000/-home-acao-code-OccAny/6a5dac99-3835-49fa-8d69-afade3902430/scratchpad/reallogs/bench_scaling_occany_jz_1190112.out
occany,weak,8,32,2,64,1,42,0.6817428571428571,0.6817428571428571,0.67955,1.0032269253812922,0.679,0.68909,0.00015366777028065324,45626.0,93.87703784418089,681.742857142857,7.7047902434935684,0.9630987804366961,1,500,/tmp/claude-1000/-home-acao-code-OccAny/6a5dac99-3835-49fa-8d69-afade3902430/scratchpad/reallogs/bench_scaling_occany_jz_1190116.out
tok,both,4,16,2,32,1,40,0.516495,0.516495,0.4935,1.0465957446808511,0.48911999999999994,0.61308,0.0017279934946127261,39469.0,61.956069274629954,1032.99,3.658273555407119,0.9145683888517797,1,490,/tmp/claude-1000/-home-acao-code-deltatok/d7a72b9e-8507-465f-9108-9eb0ea25d1c0/scratchpad/jzlogs/bench_scaling_deltatok_jz_1176000.out
tok,strong,1,4,2,32,4,160,0.458804375,1.8352175,1.818,1.0094705720572057,1.7952000000000001,1.8864,0.002022920988929105,42070.0,17.43662535911956,3670.435,1.0,1.0,1,1990,/tmp/claude-1000/-home-acao-code-deltatok/d7a72b9e-8507-465f-9108-9eb0ea25d1c0/scratchpad/jzlogs/bench_scaling_deltatok_jz_1175997.out
tok,strong,2,8,2,32,2,80,0.48011875000000004,0.9602375000000001,0.9416,1.0197934367034835,0.93202,1.01754,0.0018094481833921296,42069.0,33.32508884520756,1920.4750000000004,1.9112120699306157,0.9556060349653078,1,990,/tmp/claude-1000/-home-acao-code-deltatok/d7a72b9e-8507-465f-9108-9eb0ea25d1c0/scratchpad/jzlogs/bench_scaling_deltatok_jz_1175999.out
tok,strong,8,32,1,32,1,40,0.37022499999999997,0.37022499999999997,0.3369,1.0989165924606707,0.3268,0.53208,0.0021135795799851445,27496.0,86.43392531568641,740.4499999999999,4.957032885407523,0.6196291106759404,1,490,/tmp/claude-1000/-home-acao-code-deltatok/d7a72b9e-8507-465f-9108-9eb0ea25d1c0/scratchpad/jzlogs/bench_scaling_deltatok_jz_1176002.out
tok,weak,1,4,2,8,1,40,0.47237,0.47237,0.46609999999999996,1.0134520489165417,0.45958000000000004,0.50705,0.0016194931938946164,39470.0,16.935876537460043,3778.9599999999996,1.0,1.0,1,490,/tmp/claude-1000/-home-acao-code-deltatok/d7a72b9e-8507-465f-9108-9eb0ea25d1c0/scratchpad/jzlogs/bench_scaling_deltatok_jz_1175996.out
tok,weak,2,8,2,16,1,40,0.4972875,0.4972875,0.4851,1.0251236858379715,0.47845000000000004,0.55946,0.001679109167232235,39469.0,32.17454691702486,1989.1499999999999,1.8997863408993791,0.9498931704496896,1,490,/tmp/claude-1000/-home-acao-code-deltatok/d7a72b9e-8507-465f-9108-9eb0ea25d1c0/scratchpad/jzlogs/bench_scaling_deltatok_jz_1175998.out
tok,weak,8,32,2,64,1,40,0.5535249999999999,0.5535249999999999,0.5076,1.0904747832939319,0.50423,0.7321199999999999,0.00135946885867847,39468.0,115.62260060521207,553.5249999999999,6.827080980985503,0.8533851226231879,1,490,/tmp/claude-1000/-home-acao-code-deltatok/d7a72b9e-8507-465f-9108-9eb0ea25d1c0/scratchpad/jzlogs/bench_scaling_deltatok_jz_1176001.out
