run,dataset,metric,step,pointmap_loss
dtok32,KITTI,single,562,10.458319
dtok32,KITTI,single,1124,10.112045
dtok32,KITTI,single,1686,15.103068
dtok32,KITTI,single,2248,17.172028
dtok32,KITTI,single,2810,4.382149
dtok32,KITTI,single,3372,1.986913
dtok32,KITTI,single,3934,1.089865
dtok32,KITTI,single,4496,0.758829
dtok32,KITTI,single,5058,0.618864
dtok32,KITTI,single,5620,0.731021
dtok32,KITTI,single,6182,0.550124
dtok32,KITTI,single,6744,0.632718
dtok32,KITTI,single,7306,0.498557
dtok32,KITTI,single,7868,0.459818
dtok32,KITTI,single,8430,0.503125
dtok32,KITTI,single,8992,0.492464
dtok32,KITTI,single,9554,0.440947
dtok32,KITTI,single,10116,0.437833
dtok32,KITTI,single,10678,0.414288
dtok32,KITTI,single,11240,0.477960
dtok32,KITTI,single,11802,0.459252
dtok32,KITTI,single,12364,0.466366
dtok32,KITTI,single,12926,0.441116
dtok32,KITTI,single,13488,0.434015
dtok32,KITTI,single,14050,0.422637
dtok32,KITTI,single,14612,0.395076
dtok32,KITTI,single,15174,0.400527
dtok32,KITTI,single,15736,0.394871
dtok32,KITTI,single,16298,0.378750
dtok32,KITTI,single,16860,0.423264
dtok32,KITTI,single,17422,0.389822
dtok32,KITTI,single,17984,0.450299
dtok32,KITTI,single,18546,0.394386
dtok32,KITTI,single,19108,0.406056
dtok32,KITTI,single,19670,0.446255
dtok32,KITTI,single,20232,0.423122
dtok32,KITTI,single,20794,0.402468
dtok32,KITTI,single,21356,0.412405
dtok32,KITTI,single,21918,0.391588
dtok32,KITTI,single,22480,0.396262
dtok32,KITTI,single,23042,0.383145
dtok32,KITTI,single,23604,0.379590
dtok32,KITTI,single,24166,0.395292
dtok32,KITTI,single,24728,0.392987
dtok32,KITTI,single,25290,0.407834
dtok32,KITTI,single,25852,0.393441
dtok32,KITTI,single,26414,0.369575
dtok32,KITTI,single,26976,0.427555
dtok32,KITTI,single,27538,0.377033
dtok32,KITTI,single,28100,0.370534
dtok32,KITTI,single,28662,0.398165
dtok32,KITTI,single,29224,0.372926
dtok32,KITTI,single,29786,0.401100
dtok32,KITTI,single,30348,0.374677
dtok32,KITTI,single,30910,0.397090
dtok32,KITTI,single,31472,0.393461
dtok32,KITTI,single,32034,0.362423
dtok32,KITTI,single,32596,0.373367
dtok32,KITTI,single,33158,0.404405
dtok32,KITTI,single,33720,0.378980
dtok32,KITTI,single,34282,0.406304
dtok32,KITTI,single,34844,0.374429
dtok32,KITTI,single,35406,0.359605
dtok32,KITTI,single,35968,0.366175
dtok32,KITTI,single,36530,0.380166
dtok32,KITTI,single,37092,0.407572
dtok32,KITTI,single,37654,0.374443
dtok32,KITTI,single,38216,0.369115
dtok32,KITTI,single,38778,0.362287
dtok32,KITTI,single,39340,0.353617
dtok32,KITTI,single,39902,0.383197
dtok32,KITTI,single,40464,0.353884
dtok32,KITTI,single,41026,0.350048
dtok32,KITTI,single,41588,0.364912
dtok32,KITTI,single,42150,0.384217
dtok32,KITTI,single,42712,0.359201
dtok32,KITTI,single,43274,0.360491
dtok32,KITTI,single,43836,0.354163
dtok32,KITTI,single,44398,0.351097
dtok32,KITTI,single,44960,0.353623
dtok32,KITTI,single,45522,0.334687
dtok32,KITTI,single,46084,0.330659
dtok32,KITTI,single,46646,0.346495
dtok32,KITTI,single,47208,0.364263
dtok32,KITTI,single,47770,0.341887
dtok32,KITTI,single,48332,0.363494
dtok32,KITTI,single,48894,0.361518
dtok32,KITTI,single,49456,0.344368
dtok32,KITTI,single,50018,0.358982
dtok32,KITTI,single,50580,nan
dtok32,KITTI,single,51142,nan
dtok32,KITTI,single,51704,nan
dtok32,KITTI,single,52266,nan
dtok32,KITTI,single,52828,nan
dtok32,KITTI,single,53390,nan
dtok32,KITTI,single,53952,nan
dtok32,KITTI,single,54514,nan
dtok32,KITTI,single,55076,nan
